date,nb_articles,titles,news
2022-01-24,24,"Stock Market Today: Dow, S&P Live Updates for Jan. 25, 2022 | Stock markets rebound after Dow, S&P 500 and Nasdaq all enter ""correction"" territory | Stock-Market News: Stocks Sink With Fed Meeting, Tech Earnings on Tap | The U.S. Stock Market Just Did Something It May Never Do Again | These stocks in the S&P 500 had price swings of 10% or more Monday | Wall Street plunges through 'white knuckle' zone before closing slightly higher | Unlike Trump, Biden doesn't use stocks to judge the economy, White House says | Stock Market Rout, in Charts (SPX, INDU, NDX, CCMP) | Wall Street reverses, ends higher in late session rally | Wondering How To Trade In A Bear Market? Here Are 4 Easy Tips - SPDR S&P 500 (ARCA:SPY) | US shares rebound after Russia-Ukraine tensions hit markets | Stock Market 'Panic Is Setting In' As S&P 500 Briefly Enters Correction Territory Then Rebounds | 'Meme Stocks' Officially Over As Crash Wipes Out $191 Billion | S&P 500 eyes first correction since 2020 pandemic collapse | S&P 500 Follows Nasdaq Into Correction Territory as Fear Index Rises | S&P 500 (SPX) Having Worst Start to Year Ever | Preparing for the Next S&P 500 Sector Shakeup | Millennium Has Quietly Minted Billions on America's Passive-Investing Craze | Here's why stocks are on such shaky ground to start January | Dow closes lower, but well off session lows in another massive comeback | Congress Beats Wall Street at Its Own Game | Bitcoin (BTC USD) Crypto Price Correlation With Stocks Like Never Before | 'Catastrophic' Stock Market Crash Isn't Over—Here's How Much Worse It Could Get | Sidestep Volatility With This Downside Hedging ETF","Stock Market Today: Dow, S&P Live Updates for Jan. 25, 2022 | Stock markets rebound after Dow, S&P 500 and Nasdaq all enter ""correction"" territory | Stock-Market News: Stocks Sink With Fed Meeting, Tech Earnings on Tap | The U.S. Stock Market Just Did Something It May Never Do Again | These stocks in the S&P 500 had price swings of 10% or more Monday | Wall Street plunges through 'white knuckle' zone before closing slightly higher | Unlike Trump, Biden doesn't use stocks to judge the economy, White House says | Stock Market Rout, in Charts (SPX, INDU, NDX, CCMP) | Wall Street reverses, ends higher in late session rally | Wondering How To Trade In A Bear Market? Here Are 4 Easy Tips - SPDR S&P 500 (ARCA:SPY) | US shares rebound after Russia-Ukraine tensions hit markets | Stock Market 'Panic Is Setting In' As S&P 500 Briefly Enters Correction Territory Then Rebounds | 'Meme Stocks' Officially Over As Crash Wipes Out $191 Billion | S&P 500 eyes first correction since 2020 pandemic collapse | S&P 500 Follows Nasdaq Into Correction Territory as Fear Index Rises | S&P 500 (SPX) Having Worst Start to Year Ever | Preparing for the Next S&P 500 Sector Shakeup | Millennium Has Quietly Minted Billions on America's Passive-Investing Craze | Here's why stocks are on such shaky ground to start January | Dow closes lower, but well off session lows in another massive comeback | Congress Beats Wall Street at Its Own Game | Bitcoin (BTC USD) Crypto Price Correlation With Stocks Like Never Before | 'Catastrophic' Stock Market Crash Isn't Over—Here's How Much Worse It Could Get | Sidestep Volatility With This Downside Hedging ETF"
2022-01-25,8,"Strategists Predict Trouble for U.S. Stocks After Massive U-Turn | When Performance Matters: Nasdaq-100 vs. S&P 500, Fourth Quarter '21 | This is Normal | Stock market news live updates: January 25, 2022 | How to Survive When Stocks Behave Badly | REITs outperformed the S&P 500 in 2021. Here's what to watch in 2022 | Stock Market Today: Dow, S&P Live Updates for Jan. 26, 2022 | Long-term investors shouldn't worry too much about stocks being 10% off their highs","Strategists Predict Trouble for U.S. Stocks After Massive U-Turn | When Performance Matters: Nasdaq-100 vs. S&P 500, Fourth Quarter '21 | This is Normal | Stock market news live updates: January 25, 2022 | How to Survive When Stocks Behave Badly | REITs outperformed the S&P 500 in 2021. Here's what to watch in 2022 | Stock Market Today: Dow, S&P Live Updates for Jan. 26, 2022 | Long-term investors shouldn't worry too much about stocks being 10% off their highs"
2022-01-26,11,"S&P 500 closes lower, gives up earlier gains as volatility continues | Webull to Offer Cboe’s Nanos S&P 500 Index Options to Its Retail Traders | Stock Market News for Jan 26, 2022 | On My Radar: Three Sigma – Three Events in the Last 100 Years (Until Now) | LIVE MARKETS S&P 500: On track for biggest January drop in its history | Primecap Odyssey Growth Has a Rough Year | Here’s what history says about stock-market returns during Fed rate-hike periods | Gap to leave S&P 500 next week, moving to midcap index | Don't Sweat the S&P 500's Pullback to This Key Trendline | Do Innovative Companies Outperform? | How the 'world's first' AI-managed ETF stacks up, almost five years later","S&P 500 closes lower, gives up earlier gains as volatility continues | Webull to Offer Cboe’s Nanos S&P 500 Index Options to Its Retail Traders | Stock Market News for Jan 26, 2022 | On My Radar: Three Sigma – Three Events in the Last 100 Years (Until Now) | LIVE MARKETS S&P 500: On track for biggest January drop in its history | Primecap Odyssey Growth Has a Rough Year | Here’s what history says about stock-market returns during Fed rate-hike periods | Gap to leave S&P 500 next week, moving to midcap index | Don't Sweat the S&P 500's Pullback to This Key Trendline | Do Innovative Companies Outperform? | How the 'world's first' AI-managed ETF stacks up, almost five years later"
2022-01-27,5,"Bitcoin's cover blown? It's moving 'more like a risk asset' | Dow gains more than 500 points in best day of 2022 to wrap up wild week | Gap Cut From S&P 500 | Stock Market Today: Dow, S&P Live Updates for Jan. 28, 2022 | These Funds Blow Away Cathie Wood's ARK Innovation","Bitcoin's cover blown? It's moving 'more like a risk asset' | Dow gains more than 500 points in best day of 2022 to wrap up wild week | Gap Cut From S&P 500 | Stock Market Today: Dow, S&P Live Updates for Jan. 28, 2022 | These Funds Blow Away Cathie Wood's ARK Innovation"
2022-01-28,7,"Stock Market News for Jan 28, 2022 | Stocks Week In Review: Boomerang Market Ends Up Going No Where | We still expect a 20% correction in the S&P 500, says Dan Niles | Economic Update — Reviewing Q4 2021 | Commentary: Perception of value equity's low risk may not be accurate | A Typical Correction Or The Start Of A Bear Market? | Economic Indicators","Stock Market News for Jan 28, 2022 | Stocks Week In Review: Boomerang Market Ends Up Going No Where | We still expect a 20% correction in the S&P 500, says Dan Niles | Economic Update — Reviewing Q4 2021 | Commentary: Perception of value equity's low risk may not be accurate | A Typical Correction Or The Start Of A Bear Market? | Economic Indicators"
2022-01-31,11,"Turbulent January could bode poorly for rest of year for U.S. stocks | Stocks rise for a third day to extend market’s comeback from January sell-off, Dow jumps 270 points | Stock Market Today: Dow, S&P Live Updates for Feb. 1, 2022 | Stock Market News for Jan 31, 2022 | Secrets of index funds | Stock Market Outlook: Factory Data Point to S&P 500 Struggling in 2022 | Meet Some of the New 2022 Dividend Aristocrats | January was worst month for U.S. stocks since pandemic began | January Was Bad for Stocks, but Wall Street Expects a Better Year | Is Q4 the Bottom for S&P 500 Net Profit Margins? | SEC May Investigate Index Providers","Turbulent January could bode poorly for rest of year for U.S. stocks | Stocks rise for a third day to extend market’s comeback from January sell-off, Dow jumps 270 points | Stock Market Today: Dow, S&P Live Updates for Feb. 1, 2022 | Stock Market News for Jan 31, 2022 | Secrets of index funds | Stock Market Outlook: Factory Data Point to S&P 500 Struggling in 2022 | Meet Some of the New 2022 Dividend Aristocrats | January was worst month for U.S. stocks since pandemic began | January Was Bad for Stocks, but Wall Street Expects a Better Year | Is Q4 the Bottom for S&P 500 Net Profit Margins? | SEC May Investigate Index Providers"
2022-02-01,5,"Ether ($ETH USD) Correlation With US Stocks Reaches Record: Chart | Here's The 'New AT&T' If You Want A Rock-Solid Dividend | NANOS Index Options | Stock Market News for Feb 1, 2022 | Worst Outflows for SPY as QQQ Loses Most Since Dot-Com","Ether ($ETH USD) Correlation With US Stocks Reaches Record: Chart | Here's The 'New AT&T' If You Want A Rock-Solid Dividend | NANOS Index Options | Stock Market News for Feb 1, 2022 | Worst Outflows for SPY as QQQ Loses Most Since Dot-Com"
2022-02-02,8,"Stock Market Today: Dow, S&P Live Updates for Feb. 3, 2022 | Warren Buffett Wins in 2022: ETF Lessons to Learn From | Stock Market News for Feb 2, 2022 | Sean Keyes on investing: Ireland's tech industry is powering up - The Currency | S&P 500: U.S. Congress Members Load Up On 10 Stocks | If January Predicts the Rest of the Year, Investors Could Be Hurting | Does linking ESG performance to executive pay actually make a difference? | Alphabet stock split may trigger retail buying, Dow inclusion","Stock Market Today: Dow, S&P Live Updates for Feb. 3, 2022 | Warren Buffett Wins in 2022: ETF Lessons to Learn From | Stock Market News for Feb 2, 2022 | Sean Keyes on investing: Ireland's tech industry is powering up - The Currency | S&P 500: U.S. Congress Members Load Up On 10 Stocks | If January Predicts the Rest of the Year, Investors Could Be Hurting | Does linking ESG performance to executive pay actually make a difference? | Alphabet stock split may trigger retail buying, Dow inclusion"
2022-02-03,10,"Short sellers building positions against consumer discretionary stocks | S&P 500 rises to end best week of the year so far, Amazon pushes Nasdaq 1.6% higher on Friday | Ken Griffin's Hedge Fund Reportedly Crushed S&P 500 in January | Job Listings at S&P 500 Companies up 1.8% in January 2022 According to S&P 500 LinkUp Jobs Index | Tech Rout on Meta Miss Jeopardizes S&P 500's Winning Streak | Chart Of The Day: SPDR® S&P 500 ETF | Cboe Plans to List SPX Tuesday, Thursday-Expiring Weeklys Options | Brown & Brown, Inc. added to S&P 500 Dividend Aristocrats Index | Facebook is one of only four companies in the S&P 500 to make this remarkable achievement over the past 10 years — and its stock is already cheap | Sellers Looking to Drive E-mini S&P into 4419.25 – 4327.50","Short sellers building positions against consumer discretionary stocks | S&P 500 rises to end best week of the year so far, Amazon pushes Nasdaq 1.6% higher on Friday | Ken Griffin's Hedge Fund Reportedly Crushed S&P 500 in January | Job Listings at S&P 500 Companies up 1.8% in January 2022 According to S&P 500 LinkUp Jobs Index | Tech Rout on Meta Miss Jeopardizes S&P 500's Winning Streak | Chart Of The Day: SPDR® S&P 500 ETF | Cboe Plans to List SPX Tuesday, Thursday-Expiring Weeklys Options | Brown & Brown, Inc. added to S&P 500 Dividend Aristocrats Index | Facebook is one of only four companies in the S&P 500 to make this remarkable achievement over the past 10 years — and its stock is already cheap | Sellers Looking to Drive E-mini S&P into 4419.25 – 4327.50"
2022-02-04,8,"S&P 500 Gives up Majority Again | 14 Crashing Stocks You May Own Are Already In Serious Trouble | Apple Poised To Outperform The S&P 500 Index | Capital Gains: When Being Below Average Is A Good Thing | How to Use a Put Option Overlay to Minimize Market Risk | Relative Strength Line Is A Simple, Yet Effective Stock Indicator | Retiree Investors: A Historical Perspective On Stock Market Returns Can Help Calm Jittery Nerves | S&P 500 Earnings Season Update: February 4, 2022","S&P 500 Gives up Majority Again | 14 Crashing Stocks You May Own Are Already In Serious Trouble | Apple Poised To Outperform The S&P 500 Index | Capital Gains: When Being Below Average Is A Good Thing | How to Use a Put Option Overlay to Minimize Market Risk | Relative Strength Line Is A Simple, Yet Effective Stock Indicator | Retiree Investors: A Historical Perspective On Stock Market Returns Can Help Calm Jittery Nerves | S&P 500 Earnings Season Update: February 4, 2022"
2022-02-07,12,"The UK stocks that have matched the US tech giants over 10 years | Fintech-friendly banks lead best-performing US bank stocks in January | Will ADP Stock Trend Lower? | Stock Market News for Feb 7, 2022 | Wall Street ends lower as Meta Platforms weighs | SPY ETF: The Good, Bad and Ugly Factors to Consider in 2022 | Beat the S&P 500 With Its Less Risky Cousin | If You Need Downside Protection, Buffer ETFs Are Having A Moment | High Dividend ETFs Get Energy Boost | First Decrease in EPS Estimates for S&P 500 Companies for Q1 2022 Since Q2 2020 | CAPITAL IDEAS: When will the stock market bottom? | Quiet Day for the S&P 500 and Wall Street","The UK stocks that have matched the US tech giants over 10 years | Fintech-friendly banks lead best-performing US bank stocks in January | Will ADP Stock Trend Lower? | Stock Market News for Feb 7, 2022 | Wall Street ends lower as Meta Platforms weighs | SPY ETF: The Good, Bad and Ugly Factors to Consider in 2022 | Beat the S&P 500 With Its Less Risky Cousin | If You Need Downside Protection, Buffer ETFs Are Having A Moment | High Dividend ETFs Get Energy Boost | First Decrease in EPS Estimates for S&P 500 Companies for Q1 2022 Since Q2 2020 | CAPITAL IDEAS: When will the stock market bottom? | Quiet Day for the S&P 500 and Wall Street"
2022-02-08,11,"This Is What Gets In The Way Of Another Stock Market Rally In 2022 | Stock Market News for Feb 8, 2022 | S&P Global (SPGI) Q4 Earnings & Revenues Beat Mark, Rise Y/Y | LIVE MARKETS S&P 500 eases early, with Pfizer a drag | ETF Battles: QQQ Vs SCHG Vs VOOG | Commentary: Paul Ebeling on Wall Street and Beyond | Better Buy: S&P 500 vs. Total Market ETF | A 50% Decline Will Only Be A Correction | investing.com | 29 Energy ETFs Ranked For 2022 - ETF Focus on TheStreet: ETF research and Trade Ideas | What's In Your Value ETF Might Surprise You | DocuSign Stock Is Down 60% From Highs, Should You Buy Now?","This Is What Gets In The Way Of Another Stock Market Rally In 2022 | Stock Market News for Feb 8, 2022 | S&P Global (SPGI) Q4 Earnings & Revenues Beat Mark, Rise Y/Y | LIVE MARKETS S&P 500 eases early, with Pfizer a drag | ETF Battles: QQQ Vs SCHG Vs VOOG | Commentary: Paul Ebeling on Wall Street and Beyond | Better Buy: S&P 500 vs. Total Market ETF | A 50% Decline Will Only Be A Correction | investing.com | 29 Energy ETFs Ranked For 2022 - ETF Focus on TheStreet: ETF research and Trade Ideas | What's In Your Value ETF Might Surprise You | DocuSign Stock Is Down 60% From Highs, Should You Buy Now?"
2022-02-09,10,"The Fed's coming rate hikes don't spell doom for stocks | LIVE MARKETS S&P 500, Nasdaq up 1% early as mega caps gain | S&P 500, Nasdaq slip as Pfizer, megacap stocks drag | Why Apple Stock Shot Higher On Tuesday | Pluang Users Can Now Invest in US Stocks CFD | Energy stocks emerge as big winners in market's oil sensitivity | New York's Pension Fund Plans to Restrict Its Investments in Oil and Gas Companies | LIVE MARKETS Super Bowl showdown: Will the S&P 500 score or fumble? | Now More Than Ever, the Stock Market Doesn't Matter | Biggest Single-Day Market Cap Drops in U.S. Stocks","The Fed's coming rate hikes don't spell doom for stocks | LIVE MARKETS S&P 500, Nasdaq up 1% early as mega caps gain | S&P 500, Nasdaq slip as Pfizer, megacap stocks drag | Why Apple Stock Shot Higher On Tuesday | Pluang Users Can Now Invest in US Stocks CFD | Energy stocks emerge as big winners in market's oil sensitivity | New York's Pension Fund Plans to Restrict Its Investments in Oil and Gas Companies | LIVE MARKETS Super Bowl showdown: Will the S&P 500 score or fumble? | Now More Than Ever, the Stock Market Doesn't Matter | Biggest Single-Day Market Cap Drops in U.S. Stocks"
