date,SP500_Close,headline,source
2015-08-24,1893.2099609375,US imposes new sanctions on Russia over Ukraine conflict,Financial Times
2015-08-25,1867.6099853515625,Tesla shares fall after disappointing delivery numbers,AP Finance
2015-08-27,1987.6600341796875,Merger talks between two major airlines collapse,The Economist
2015-09-01,1913.8499755859375,Manufacturing PMI contracts for third consecutive month,AP Finance
2015-09-02,1948.8599853515625,Banking sector faces headwinds from rising credit defaults,CNBC
2015-09-08,1969.4100341796875,Dollar strengthens against euro on hawkish Fed comments,Bloomberg
2015-09-09,1942.0400390625,"Bond yields hit 15-year high, pressuring equity valuations",Financial Times
2015-09-14,1953.030029296875,"Central bank holds rates steady, signals pause in tightening",AP Finance
2015-09-18,1958.030029296875,Consumer confidence index drops sharply in August survey,AP Finance
2015-09-21,1966.969970703125,"Bitcoin falls below $20,000 as crypto winter deepens",MarketWatch
2015-09-23,1938.760009765625,Housing market shows signs of cooling after rate hikes,Business Insider
2015-09-28,1881.77001953125,Merger talks between two major airlines collapse,Financial Times
2015-09-29,1884.0899658203125,Emerging market currencies under pressure from strong dollar,Bloomberg
2015-10-05,1987.050048828125,Semiconductor shortage eases as chip production ramps up,Wall Street Journal
2015-10-06,1979.9200439453125,GDP growth beats expectations in strong Q2 report,CNBC
2015-10-16,2033.1099853515625,Trade deficit widens as imports outpace exports,Forbes
2015-10-19,2033.6600341796875,Consumer confidence index drops sharply in August survey,Bloomberg
2015-10-20,2030.77001953125,"Central bank holds rates steady, signals pause in tightening",MarketWatch
2015-10-21,2018.93994140625,"Retail inventory levels rise, suggesting demand slowdown",Forbes
2015-10-23,2075.14990234375,US inflation cools to lowest level in two years,Wall Street Journal
2015-10-26,2071.179931640625,Emerging market currencies under pressure from strong dollar,The Economist
2015-10-27,2065.889892578125,Semiconductor shortage eases as chip production ramps up,CNBC
2015-10-29,2089.409912109375,Bank stocks surge after stress test results released,CNBC
2015-10-30,2079.360107421875,Pharmaceutical company announces breakthrough cancer treatment,Forbes
2015-11-03,2109.7900390625,Germany enters recession as energy costs weigh on industry,Wall Street Journal
2015-11-04,2102.31005859375,Banking sector faces headwinds from rising credit defaults,Bloomberg
2015-11-06,2099.199951171875,Semiconductor shortage eases as chip production ramps up,AP Finance
2015-11-09,2078.580078125,Bank stocks surge after stress test results released,Reuters
2015-11-10,2081.719970703125,Oil majors post record profits as energy prices soar,Business Insider
2015-11-11,2075.0,Dollar strengthens against euro on hawkish Fed comments,CNBC
2015-11-13,2023.0400390625,Nasdaq enters correction territory amid rate hike fears,Wall Street Journal
2015-11-16,2053.18994140625,European Central Bank signals aggressive rate hike path,Reuters
2015-11-25,2088.8701171875,Tech stocks rally on strong earnings from major firms,MarketWatch
2015-11-27,2090.110107421875,Amazon announces major layoffs amid slowing growth,Business Insider
2015-12-01,2102.6298828125,IMF warns of global recession risk following energy crisis,Financial Times
2015-12-10,2052.22998046875,Unemployment rate falls to multi-decade low,AP Finance
2015-12-15,2043.4100341796875,Federal Reserve raises interest rates amid inflation concerns,Forbes
2015-12-16,2073.070068359375,US inflation cools to lowest level in two years,The Economist
2015-12-17,2041.8900146484375,Banking sector faces headwinds from rising credit defaults,CNBC
2015-12-21,2021.1500244140625,Wall Street closes higher after positive jobs report,Business Insider
2015-12-23,2064.2900390625,Bank stocks surge after stress test results released,CNBC
2015-12-30,2063.360107421875,IMF warns of global recession risk following energy crisis,MarketWatch
2015-12-31,2043.93994140625,North Korea fires ballistic missile toward Japan,AP Finance
2016-01-04,2012.6600341796875,Banking sector faces headwinds from rising credit defaults,Bloomberg
2016-01-07,1943.0899658203125,Manufacturing PMI contracts for third consecutive month,CNBC
2016-01-11,1923.6700439453125,"Retail inventory levels rise, suggesting demand slowdown",Reuters
2016-01-12,1938.6800537109375,Semiconductor shortage eases as chip production ramps up,Reuters
2016-01-15,1880.3299560546875,"Central bank holds rates steady, signals pause in tightening",Forbes
2016-01-20,1859.3299560546875,Unemployment rate falls to multi-decade low,Reuters
2016-01-25,1877.0799560546875,S&P 500 drops 3% as inflation data disappoints investors,Bloomberg
2016-01-26,1903.6300048828125,Emerging market currencies under pressure from strong dollar,The Economist
2016-01-27,1882.949951171875,Renewable energy stocks surge on new climate legislation,Financial Times
2016-01-28,1893.3599853515625,Bank stocks surge after stress test results released,AP Finance
2016-01-29,1940.239990234375,China-US trade war escalates with new tariffs,Reuters
2016-02-01,1939.3800048828125,"OPEC cuts oil production, sending crude prices higher",Bloomberg
2016-02-03,1912.530029296875,IMF warns of global recession risk following energy crisis,Business Insider
2016-02-05,1880.050048828125,Apple reports record quarterly revenue despite supply chain issues,CNBC
2016-02-08,1853.43994140625,Amazon announces major layoffs amid slowing growth,Wall Street Journal
2016-02-11,1829.0799560546875,Apple reports record quarterly revenue despite supply chain issues,Wall Street Journal
2016-02-12,1864.780029296875,Tech stocks rally on strong earnings from major firms,Wall Street Journal
2016-02-18,1917.8299560546875,Renewable energy stocks surge on new climate legislation,Reuters
2016-02-19,1917.780029296875,US imposes new sanctions on Russia over Ukraine conflict,Forbes
2016-02-22,1945.5,US imposes new sanctions on Russia over Ukraine conflict,Financial Times
2016-02-24,1929.800048828125,"Retail inventory levels rise, suggesting demand slowdown",Financial Times
2016-02-25,1951.699951171875,North Korea fires ballistic missile toward Japan,Financial Times
2016-02-26,1948.050048828125,Brexit deal uncertainty rattles European markets,Business Insider
2016-03-01,1978.3499755859375,Pharmaceutical company announces breakthrough cancer treatment,Wall Street Journal
2016-03-03,1993.4000244140625,China-US trade war escalates with new tariffs,Reuters
2016-03-09,1989.260009765625,"Bitcoin falls below $20,000 as crypto winter deepens",MarketWatch
2016-03-10,1989.5699462890625,"OPEC cuts oil production, sending crude prices higher",Reuters
2016-03-16,2027.219970703125,European Central Bank signals aggressive rate hike path,Reuters
2016-03-17,2040.5899658203125,Dollar strengthens against euro on hawkish Fed comments,The Economist
2016-03-18,2049.580078125,Renewable energy stocks surge on new climate legislation,AP Finance
2016-03-21,2051.60009765625,US inflation cools to lowest level in two years,CNBC
2016-03-24,2035.93994140625,Dollar strengthens against euro on hawkish Fed comments,AP Finance
2016-03-28,2037.050048828125,Pharmaceutical company announces breakthrough cancer treatment,Bloomberg
2016-03-30,2063.949951171875,Consumer confidence index drops sharply in August survey,The Economist
2016-04-04,2066.1298828125,GDP growth beats expectations in strong Q2 report,AP Finance
2016-04-05,2045.1700439453125,Germany enters recession as energy costs weigh on industry,CNBC
2016-04-06,2066.659912109375,Merger talks between two major airlines collapse,Business Insider
2016-04-13,2082.419921875,Emerging market currencies under pressure from strong dollar,The Economist
2016-04-15,2080.72998046875,Manufacturing PMI contracts for third consecutive month,Reuters
2016-04-18,2094.340087890625,Manufacturing PMI contracts for third consecutive month,Reuters
2016-04-20,2102.39990234375,Trade deficit widens as imports outpace exports,Forbes
2016-04-22,2091.580078125,Brexit deal uncertainty rattles European markets,The Economist
2016-04-25,2087.7900390625,Gold hits all-time high as investors seek safe haven assets,The Economist
2016-04-27,2095.14990234375,IMF warns of global recession risk following energy crisis,The Economist
2016-05-02,2081.429931640625,Apple reports record quarterly revenue despite supply chain issues,Wall Street Journal
2016-05-03,2063.3701171875,Oil prices surge as Middle East tensions escalate,Reuters
2016-05-05,2050.6298828125,Germany enters recession as energy costs weigh on industry,The Economist
2016-05-09,2058.68994140625,Brexit deal uncertainty rattles European markets,Business Insider
2016-05-10,2084.389892578125,"Bond yields hit 15-year high, pressuring equity valuations",CNBC
2016-05-12,2064.110107421875,Housing market shows signs of cooling after rate hikes,AP Finance
2016-05-13,2046.6099853515625,Brexit deal uncertainty rattles European markets,Forbes
2016-05-17,2047.2099609375,Gold hits all-time high as investors seek safe haven assets,CNBC
2016-05-18,2047.6300048828125,Renewable energy stocks surge on new climate legislation,Financial Times
2016-05-19,2040.0400390625,Gold hits all-time high as investors seek safe haven assets,AP Finance
2016-05-25,2090.5400390625,Oil prices surge as Middle East tensions escalate,Bloomberg
2016-05-27,2099.06005859375,S&P 500 drops 3% as inflation data disappoints investors,AP Finance
2016-05-31,2096.949951171875,Tesla shares fall after disappointing delivery numbers,CNBC
2016-06-02,2105.260009765625,Bank stocks surge after stress test results released,The Economist
2016-06-03,2099.1298828125,GDP growth beats expectations in strong Q2 report,Wall Street Journal
2016-06-09,2115.47998046875,North Korea fires ballistic missile toward Japan,The Economist
2016-06-10,2096.070068359375,Brexit deal uncertainty rattles European markets,MarketWatch
2016-06-13,2079.06005859375,Wall Street closes higher after positive jobs report,CNBC
2016-06-14,2075.320068359375,Retail sales data signals consumer slowdown,Financial Times
2016-06-21,2088.89990234375,US inflation cools to lowest level in two years,Bloomberg
2016-06-22,2085.449951171875,European Central Bank signals aggressive rate hike path,The Economist
2016-06-24,2037.4100341796875,Apple reports record quarterly revenue despite supply chain issues,Wall Street Journal
2016-06-27,2000.5400390625,Merger talks between two major airlines collapse,MarketWatch
2016-06-28,2036.0899658203125,Nasdaq enters correction territory amid rate hike fears,Business Insider
2016-06-29,2070.77001953125,Semiconductor shortage eases as chip production ramps up,Forbes
2016-06-30,2098.860107421875,European Central Bank signals aggressive rate hike path,Business Insider
2016-07-05,2088.550048828125,US inflation cools to lowest level in two years,The Economist
2016-07-13,2152.429931640625,China-US trade war escalates with new tariffs,Business Insider
2016-07-14,2163.75,US inflation cools to lowest level in two years,MarketWatch
2016-07-22,2175.030029296875,"OPEC cuts oil production, sending crude prices higher",Bloomberg
2016-07-26,2169.179931640625,North Korea fires ballistic missile toward Japan,MarketWatch
2016-07-28,2170.06005859375,GDP growth beats expectations in strong Q2 report,Bloomberg
2016-07-29,2173.60009765625,Oil prices surge as Middle East tensions escalate,Financial Times
2016-08-01,2170.840087890625,Wall Street closes higher after positive jobs report,AP Finance
2016-08-03,2163.7900390625,Pharmaceutical company announces breakthrough cancer treatment,Wall Street Journal
2016-08-04,2164.25,"Retail inventory levels rise, suggesting demand slowdown",MarketWatch
2016-08-09,2181.739990234375,Renewable energy stocks surge on new climate legislation,Business Insider
2016-08-12,2184.050048828125,"OPEC cuts oil production, sending crude prices higher",Business Insider
2016-08-16,2178.14990234375,Wall Street closes higher after positive jobs report,MarketWatch
2016-08-17,2182.219970703125,"OPEC cuts oil production, sending crude prices higher",Wall Street Journal
2016-08-19,2183.8701171875,Manufacturing PMI contracts for third consecutive month,The Economist
2016-08-22,2182.639892578125,"Retail inventory levels rise, suggesting demand slowdown",Reuters
2016-08-23,2186.89990234375,Housing market shows signs of cooling after rate hikes,MarketWatch
2016-08-24,2175.43994140625,Bank stocks surge after stress test results released,Bloomberg
2016-08-26,2169.0400390625,"OPEC cuts oil production, sending crude prices higher",AP Finance
2016-08-31,2170.949951171875,Banking sector faces headwinds from rising credit defaults,Reuters
2016-09-02,2179.97998046875,Renewable energy stocks surge on new climate legislation,MarketWatch
2016-09-07,2186.159912109375,Tech stocks rally on strong earnings from major firms,Financial Times
2016-09-08,2181.300048828125,S&P 500 drops 3% as inflation data disappoints investors,Reuters
2016-09-14,2125.77001953125,Amazon announces major layoffs amid slowing growth,Bloomberg
2016-09-15,2147.260009765625,Retail sales data signals consumer slowdown,Wall Street Journal
2016-09-20,2139.760009765625,Amazon announces major layoffs amid slowing growth,Business Insider
2016-09-21,2163.1201171875,Wall Street closes higher after positive jobs report,Financial Times
2016-09-26,2146.10009765625,Merger talks between two major airlines collapse,Bloomberg
2016-09-30,2168.27001953125,Bank stocks surge after stress test results released,Financial Times
2016-10-07,2153.739990234375,North Korea fires ballistic missile toward Japan,MarketWatch
2016-10-13,2132.550048828125,Dollar strengthens against euro on hawkish Fed comments,CNBC
2016-10-17,2126.5,Banking sector faces headwinds from rising credit defaults,CNBC
2016-10-18,2139.60009765625,S&P 500 drops 3% as inflation data disappoints investors,Bloomberg
2016-10-19,2144.2900390625,Tech stocks rally on strong earnings from major firms,The Economist
2016-10-20,2141.340087890625,Nasdaq enters correction territory amid rate hike fears,Bloomberg
2016-10-24,2151.330078125,S&P 500 drops 3% as inflation data disappoints investors,The Economist
2016-10-25,2143.159912109375,China-US trade war escalates with new tariffs,The Economist
2016-10-26,2139.429931640625,Consumer confidence index drops sharply in August survey,CNBC
2016-10-27,2133.0400390625,Gold hits all-time high as investors seek safe haven assets,Wall Street Journal
2016-10-28,2126.409912109375,Wall Street closes higher after positive jobs report,CNBC
2016-11-02,2097.93994140625,US inflation cools to lowest level in two years,The Economist
2016-11-10,2167.47998046875,S&P 500 drops 3% as inflation data disappoints investors,Business Insider
2016-11-11,2164.449951171875,Federal Reserve raises interest rates amid inflation concerns,Business Insider
2016-11-15,2180.389892578125,IMF warns of global recession risk following energy crisis,AP Finance
2016-11-18,2181.89990234375,"Bitcoin falls below $20,000 as crypto winter deepens",Bloomberg
2016-11-22,2202.93994140625,Bank stocks surge after stress test results released,MarketWatch
2016-11-23,2204.719970703125,Amazon announces major layoffs amid slowing growth,Business Insider
2016-11-28,2201.719970703125,Pharmaceutical company announces breakthrough cancer treatment,Business Insider
2016-12-06,2212.22998046875,Consumer confidence index drops sharply in August survey,Wall Street Journal
2016-12-09,2259.530029296875,Oil prices surge as Middle East tensions escalate,Wall Street Journal
2016-12-12,2256.9599609375,Dollar strengthens against euro on hawkish Fed comments,Wall Street Journal
2016-12-16,2258.070068359375,US imposes new sanctions on Russia over Ukraine conflict,Wall Street Journal
2016-12-21,2265.179931640625,US imposes new sanctions on Russia over Ukraine conflict,Forbes
2016-12-22,2260.9599609375,European Central Bank signals aggressive rate hike path,CNBC
2016-12-30,2238.830078125,Oil majors post record profits as energy prices soar,The Economist
2017-01-04,2270.75,US inflation cools to lowest level in two years,Wall Street Journal
2017-01-11,2275.320068359375,Semiconductor shortage eases as chip production ramps up,Bloomberg
2017-01-19,2263.68994140625,Consumer confidence index drops sharply in August survey,AP Finance
2017-01-20,2271.31005859375,Manufacturing PMI contracts for third consecutive month,Financial Times
2017-01-24,2280.070068359375,Bank stocks surge after stress test results released,The Economist
2017-01-26,2296.679931640625,Consumer confidence index drops sharply in August survey,Forbes
2017-01-27,2294.68994140625,Emerging market currencies under pressure from strong dollar,Reuters
2017-01-30,2280.89990234375,"Central bank holds rates steady, signals pause in tightening",Reuters
2017-02-03,2297.419921875,Bank stocks surge after stress test results released,Bloomberg
2017-02-07,2293.080078125,Bank stocks surge after stress test results released,MarketWatch
2017-02-08,2294.669921875,Bank stocks surge after stress test results released,CNBC
2017-02-09,2307.8701171875,"OPEC cuts oil production, sending crude prices higher",Reuters
2017-02-13,2328.25,North Korea fires ballistic missile toward Japan,AP Finance
2017-02-15,2349.25,European Central Bank signals aggressive rate hike path,The Economist
2017-02-16,2347.219970703125,Manufacturing PMI contracts for third consecutive month,CNBC
2017-02-17,2351.159912109375,Nasdaq enters correction territory amid rate hike fears,CNBC
2017-02-22,2362.820068359375,China-US trade war escalates with new tariffs,AP Finance
2017-02-23,2363.81005859375,Nasdaq enters correction territory amid rate hike fears,Wall Street Journal
2017-02-27,2369.75,Federal Reserve raises interest rates amid inflation concerns,MarketWatch
2017-03-02,2381.919921875,Renewable energy stocks surge on new climate legislation,CNBC
2017-03-03,2383.1201171875,Housing market shows signs of cooling after rate hikes,Financial Times
2017-03-06,2375.31005859375,Gold hits all-time high as investors seek safe haven assets,CNBC
2017-03-08,2362.97998046875,Dollar strengthens against euro on hawkish Fed comments,Wall Street Journal
2017-03-13,2373.469970703125,Gold hits all-time high as investors seek safe haven assets,Bloomberg
2017-03-15,2385.260009765625,S&P 500 drops 3% as inflation data disappoints investors,Bloomberg
2017-03-17,2378.25,Nasdaq enters correction territory amid rate hike fears,Wall Street Journal
2017-03-20,2373.469970703125,"Central bank holds rates steady, signals pause in tightening",Wall Street Journal
2017-03-22,2348.449951171875,Pharmaceutical company announces breakthrough cancer treatment,Forbes
2017-03-27,2341.590087890625,US inflation cools to lowest level in two years,Business Insider
2017-03-30,2368.06005859375,China-US trade war escalates with new tariffs,Wall Street Journal
2017-04-03,2358.840087890625,Banking sector faces headwinds from rising credit defaults,MarketWatch
2017-04-12,2344.929931640625,"OPEC cuts oil production, sending crude prices higher",Financial Times
2017-04-13,2328.949951171875,US inflation cools to lowest level in two years,Business Insider
2017-04-17,2349.010009765625,Pharmaceutical company announces breakthrough cancer treatment,Wall Street Journal
2017-04-20,2355.840087890625,Tesla shares fall after disappointing delivery numbers,Reuters
2017-04-21,2348.68994140625,Federal Reserve raises interest rates amid inflation concerns,The Economist
2017-04-26,2387.449951171875,"Retail inventory levels rise, suggesting demand slowdown",CNBC
2017-05-01,2388.330078125,"Bond yields hit 15-year high, pressuring equity valuations",Business Insider
2017-05-02,2391.169921875,North Korea fires ballistic missile toward Japan,Forbes
2017-05-05,2399.2900390625,European Central Bank signals aggressive rate hike path,MarketWatch
2017-05-08,2399.3798828125,Nasdaq enters correction territory amid rate hike fears,Business Insider
2017-05-12,2390.89990234375,Oil prices surge as Middle East tensions escalate,AP Finance
2017-05-16,2400.669921875,Bank stocks surge after stress test results released,Reuters
2017-05-17,2357.030029296875,"Central bank holds rates steady, signals pause in tightening",Reuters
2017-05-19,2381.72998046875,Brexit deal uncertainty rattles European markets,CNBC
2017-05-22,2394.02001953125,Trade deficit widens as imports outpace exports,Reuters
2017-05-23,2398.419921875,GDP growth beats expectations in strong Q2 report,Bloomberg
2017-05-24,2404.389892578125,Trade deficit widens as imports outpace exports,The Economist
2017-05-25,2415.070068359375,IMF warns of global recession risk following energy crisis,The Economist
2017-06-02,2439.070068359375,Emerging market currencies under pressure from strong dollar,The Economist
2017-06-08,2433.7900390625,Tech stocks rally on strong earnings from major firms,MarketWatch
2017-06-09,2431.77001953125,"Wage growth accelerates, fueling inflation concerns",Business Insider
2017-06-13,2440.35009765625,Wall Street closes higher after positive jobs report,Forbes
2017-06-16,2433.14990234375,GDP growth beats expectations in strong Q2 report,CNBC
2017-06-19,2453.4599609375,Wall Street closes higher after positive jobs report,The Economist
2017-06-22,2434.5,Oil majors post record profits as energy prices soar,AP Finance
2017-06-28,2440.68994140625,Federal Reserve raises interest rates amid inflation concerns,AP Finance
2017-06-29,2419.699951171875,"Bitcoin falls below $20,000 as crypto winter deepens",Reuters
2017-07-03,2429.010009765625,"OPEC cuts oil production, sending crude prices higher",MarketWatch
2017-07-07,2425.179931640625,China-US trade war escalates with new tariffs,Financial Times
2017-07-11,2425.530029296875,Unemployment rate falls to multi-decade low,Bloomberg
2017-07-12,2443.25,Oil majors post record profits as energy prices soar,CNBC
2017-07-13,2447.830078125,Renewable energy stocks surge on new climate legislation,Reuters
2017-07-20,2473.449951171875,"Bond yields hit 15-year high, pressuring equity valuations",Wall Street Journal
2017-07-24,2469.909912109375,Semiconductor shortage eases as chip production ramps up,The Economist
2017-08-02,2477.570068359375,Retail sales data signals consumer slowdown,CNBC
2017-08-03,2472.159912109375,Wall Street closes higher after positive jobs report,AP Finance
2017-08-04,2476.830078125,US inflation cools to lowest level in two years,The Economist
2017-08-07,2480.909912109375,"Wage growth accelerates, fueling inflation concerns",Financial Times
2017-08-10,2438.2099609375,Amazon announces major layoffs amid slowing growth,Financial Times
2017-08-11,2441.320068359375,Wall Street closes higher after positive jobs report,Bloomberg
2017-08-14,2465.840087890625,Bank stocks surge after stress test results released,Business Insider
2017-08-17,2430.010009765625,Renewable energy stocks surge on new climate legislation,The Economist
2017-08-23,2444.0400390625,Dollar strengthens against euro on hawkish Fed comments,MarketWatch
2017-08-28,2444.239990234375,Gold hits all-time high as investors seek safe haven assets,Financial Times
2017-08-31,2471.64990234375,Wall Street closes higher after positive jobs report,Reuters
2017-09-01,2476.550048828125,"Bitcoin falls below $20,000 as crypto winter deepens",Forbes
2017-09-05,2457.85009765625,Apple reports record quarterly revenue despite supply chain issues,AP Finance
2017-09-08,2461.429931640625,Merger talks between two major airlines collapse,Reuters
2017-09-11,2488.110107421875,Housing market shows signs of cooling after rate hikes,Business Insider
2017-09-12,2496.47998046875,European Central Bank signals aggressive rate hike path,Business Insider
2017-09-13,2498.3701171875,Unemployment rate falls to multi-decade low,Wall Street Journal
2017-09-18,2503.8701171875,US inflation cools to lowest level in two years,CNBC
2017-09-19,2506.64990234375,"Wage growth accelerates, fueling inflation concerns",Reuters
2017-09-20,2508.239990234375,"Central bank holds rates steady, signals pause in tightening",Wall Street Journal
2017-09-26,2496.840087890625,"OPEC cuts oil production, sending crude prices higher",The Economist
2017-09-27,2507.0400390625,Oil majors post record profits as energy prices soar,MarketWatch
2017-09-28,2510.06005859375,China-US trade war escalates with new tariffs,MarketWatch
2017-09-29,2519.360107421875,Renewable energy stocks surge on new climate legislation,CNBC
2017-10-02,2529.1201171875,"Retail inventory levels rise, suggesting demand slowdown",Financial Times
2017-10-03,2534.580078125,Renewable energy stocks surge on new climate legislation,Forbes
2017-10-11,2555.239990234375,Wall Street closes higher after positive jobs report,Business Insider
2017-10-17,2559.360107421875,Trade deficit widens as imports outpace exports,Wall Street Journal
2017-10-19,2562.10009765625,Oil majors post record profits as energy prices soar,Wall Street Journal
2017-10-23,2564.97998046875,"Retail inventory levels rise, suggesting demand slowdown",Reuters
2017-10-24,2569.1298828125,US imposes new sanctions on Russia over Ukraine conflict,Bloomberg
2017-10-25,2557.14990234375,North Korea fires ballistic missile toward Japan,Wall Street Journal
2017-10-30,2572.830078125,Trade deficit widens as imports outpace exports,Financial Times
2017-11-02,2579.85009765625,Brexit deal uncertainty rattles European markets,Bloomberg
2017-11-03,2587.840087890625,North Korea fires ballistic missile toward Japan,The Economist
2017-11-06,2591.1298828125,IMF warns of global recession risk following energy crisis,Forbes
2017-11-08,2594.3798828125,Emerging market currencies under pressure from strong dollar,Reuters
2017-11-10,2582.300048828125,European Central Bank signals aggressive rate hike path,Business Insider
2017-11-13,2584.840087890625,US imposes new sanctions on Russia over Ukraine conflict,CNBC
