date,headline,source,content,url,published_at
2022-01-19,"Wall Street sell-off deepens, Nasdaq confirms correction",<NA>,,,
2022-01-19,"Women Make Gains on Bank Boards, But Men Still Hold the Power",<NA>,,,
2022-01-20,Biden stock market gets Trumped,<NA>,,,
2022-01-20,How Often Should You Expect a Stock Market Correction?,<NA>,,,
2022-01-20,LIVE MARKETS S&P 500: Enough already?,<NA>,,,
2022-01-20,Report: Stark Gap in Climate Disclosures Exists Between Large & Small Public Companies,<NA>,,,
2022-01-20,"Stock Market News for Jan 20, 2022",<NA>,,,
2022-01-20,"Stock Market Today: Dow, S&P Live Updates for Jan. 21, 2022",<NA>,,,
2022-01-20,What’s Happening With BioNTech Stock?,<NA>,,,
2022-01-20,Why The S&P 500 Is A Useless Benchmark For Actively Traded Funds,<NA>,,,
2022-01-21,"Clyburn To Join IFF, Become Latest Black CEO Of Major U.S. Corporation",<NA>,,,
2022-01-21,Double Your Exposure to the S&P 500 With an Equal-Weight Strategy,<NA>,,,
2022-01-21,ETFs Most Exposed To Netflix's Epic Sell-Off,<NA>,,,
2022-01-21,"Historical Returns For Stocks, Bonds & Cash Back to 1928",<NA>,,,
2022-01-21,Nasdaq Correction Deepens as Stocks Slide on Rate Concerns,<NA>,,,
2022-01-21,Netflix Drop Highlights Benefits of Equal Weighting,<NA>,,,
2022-01-21,S&P 500 Gets Hammered to Break Major Support for the Week,<NA>,,,
2022-01-21,S&P 500 Risk Profile,<NA>,,,
2022-01-21,"S&P 500, Nasdaq post worst weeks since pandemic start as Netflix woes deepen slide",<NA>,,,
2022-01-21,The S&P 500 Has Outperformed Cathie Wood's ARKK Since March 2020 Crash,<NA>,,,
2022-01-21,"US stock markets closing: How S&P 500, Dow Jones, Nasdaq, Russell 2000 fared on Thursday",<NA>,,,
2022-01-21,VIX Curve Inverts in Time-Honored Bull Signal Tied to Peak Panic,<NA>,,,
2022-01-21,"अमेरिकी शेयर मार्केट 2 साल के निचले स्तर पर: नैस्डैक और S&P-500 में मार्च 2020 के बाद सबसे बड़ी गिरावट, बिट...",<NA>,,,
2022-01-24,'Catastrophic' Stock Market Crash Isn't Over—Here's How Much Worse It Could Get,<NA>,,,
2022-01-24,'Meme Stocks' Officially Over As Crash Wipes Out $191 Billion,<NA>,,,
2022-01-24,Bitcoin (BTC USD) Crypto Price Correlation With Stocks Like Never Before,<NA>,,,
2022-01-24,Congress Beats Wall Street at Its Own Game,<NA>,,,
2022-01-24,"Dow closes lower, but well off session lows in another massive comeback",<NA>,,,
2022-01-24,Here's why stocks are on such shaky ground to start January,<NA>,,,
2022-01-24,Millennium Has Quietly Minted Billions on America's Passive-Investing Craze,<NA>,,,
2022-01-24,Preparing for the Next S&P 500 Sector Shakeup,<NA>,,,
2022-01-24,S&P 500 (SPX) Having Worst Start to Year Ever,<NA>,,,
2022-01-24,S&P 500 Follows Nasdaq Into Correction Territory as Fear Index Rises,<NA>,,,
2022-01-24,S&P 500 eyes first correction since 2020 pandemic collapse,<NA>,,,
2022-01-24,Sidestep Volatility With This Downside Hedging ETF,<NA>,,,
2022-01-24,Stock Market 'Panic Is Setting In' As S&P 500 Briefly Enters Correction Territory Then Rebounds,<NA>,,,
2022-01-24,"Stock Market Rout, in Charts (SPX, INDU, NDX, CCMP)",<NA>,,,
2022-01-24,"Stock Market Today: Dow, S&P Live Updates for Jan. 25, 2022",<NA>,,,
2022-01-24,"Stock markets rebound after Dow, S&P 500 and Nasdaq all enter ""correction"" territory",<NA>,,,
2022-01-24,"Stock-Market News: Stocks Sink With Fed Meeting, Tech Earnings on Tap",<NA>,,,
2022-01-24,The U.S. Stock Market Just Did Something It May Never Do Again,<NA>,,,
2022-01-24,These stocks in the S&P 500 had price swings of 10% or more Monday,<NA>,,,
2022-01-24,US shares rebound after Russia-Ukraine tensions hit markets,<NA>,,,
2022-01-24,"Unlike Trump, Biden doesn't use stocks to judge the economy, White House says",<NA>,,,
2022-01-24,Wall Street plunges through 'white knuckle' zone before closing slightly higher,<NA>,,,
2022-01-24,"Wall Street reverses, ends higher in late session rally",<NA>,,,
2022-01-24,Wondering How To Trade In A Bear Market? Here Are 4 Easy Tips - SPDR S&P 500 (ARCA:SPY),<NA>,,,
2022-01-25,How to Survive When Stocks Behave Badly,<NA>,,,
2022-01-25,Long-term investors shouldn't worry too much about stocks being 10% off their highs,<NA>,,,
2022-01-25,REITs outperformed the S&P 500 in 2021. Here's what to watch in 2022,<NA>,,,
2022-01-25,"Stock Market Today: Dow, S&P Live Updates for Jan. 26, 2022",<NA>,,,
2022-01-25,"Stock market news live updates: January 25, 2022",<NA>,,,
2022-01-25,Strategists Predict Trouble for U.S. Stocks After Massive U-Turn,<NA>,,,
2022-01-25,This is Normal,<NA>,,,
2022-01-25,"When Performance Matters: Nasdaq-100 vs. S&P 500, Fourth Quarter '21",<NA>,,,
2022-01-26,Do Innovative Companies Outperform?,<NA>,,,
2022-01-26,Don't Sweat the S&P 500's Pullback to This Key Trendline,<NA>,,,
2022-01-26,"Gap to leave S&P 500 next week, moving to midcap index",<NA>,,,
2022-01-26,Here’s what history says about stock-market returns during Fed rate-hike periods,<NA>,,,
2022-01-26,"How the 'world's first' AI-managed ETF stacks up, almost five years later",<NA>,,,
2022-01-26,LIVE MARKETS S&P 500: On track for biggest January drop in its history,<NA>,,,
2022-01-26,On My Radar: Three Sigma – Three Events in the Last 100 Years (Until Now),<NA>,,,
2022-01-26,Primecap Odyssey Growth Has a Rough Year,<NA>,,,
2022-01-26,"S&P 500 closes lower, gives up earlier gains as volatility continues",<NA>,,,
2022-01-26,"Stock Market News for Jan 26, 2022",<NA>,,,
2022-01-26,Webull to Offer Cboe’s Nanos S&P 500 Index Options to Its Retail Traders,<NA>,,,
2022-01-27,Bitcoin's cover blown? It's moving 'more like a risk asset',<NA>,,,
2022-01-27,Dow gains more than 500 points in best day of 2022 to wrap up wild week,<NA>,,,
2022-01-27,Gap Cut From S&P 500,<NA>,,,
2022-01-27,"Stock Market Today: Dow, S&P Live Updates for Jan. 28, 2022",<NA>,,,
2022-01-27,These Funds Blow Away Cathie Wood's ARK Innovation,<NA>,,,
2022-01-28,A Typical Correction Or The Start Of A Bear Market?,<NA>,,,
2022-01-28,Commentary: Perception of value equity's low risk may not be accurate,<NA>,,,
2022-01-28,Economic Indicators,<NA>,,,
2022-01-28,Economic Update — Reviewing Q4 2021,<NA>,,,
2022-01-28,"Stock Market News for Jan 28, 2022",<NA>,,,
2022-01-28,Stocks Week In Review: Boomerang Market Ends Up Going No Where,<NA>,,,
2022-01-28,"We still expect a 20% correction in the S&P 500, says Dan Niles",<NA>,,,
2022-01-31,Is Q4 the Bottom for S&P 500 Net Profit Margins?,<NA>,,,
2022-01-31,"January Was Bad for Stocks, but Wall Street Expects a Better Year",<NA>,,,
2022-01-31,January was worst month for U.S. stocks since pandemic began,<NA>,,,
2022-01-31,Meet Some of the New 2022 Dividend Aristocrats,<NA>,,,
2022-01-31,SEC May Investigate Index Providers,<NA>,,,
2022-01-31,Secrets of index funds,<NA>,,,
2022-01-31,"Stock Market News for Jan 31, 2022",<NA>,,,
2022-01-31,Stock Market Outlook: Factory Data Point to S&P 500 Struggling in 2022,<NA>,,,
2022-01-31,"Stock Market Today: Dow, S&P Live Updates for Feb. 1, 2022",<NA>,,,
2022-01-31,"Stocks rise for a third day to extend market’s comeback from January sell-off, Dow jumps 270 points",<NA>,,,
2022-01-31,Turbulent January could bode poorly for rest of year for U.S. stocks,<NA>,,,
2022-02-01,Ether ($ETH USD) Correlation With US Stocks Reaches Record: Chart,<NA>,,,
2022-02-01,Here's The 'New AT&T' If You Want A Rock-Solid Dividend,<NA>,,,
2022-02-01,NANOS Index Options,<NA>,,,
2022-02-01,"Stock Market News for Feb 1, 2022",<NA>,,,
2022-02-01,Worst Outflows for SPY as QQQ Loses Most Since Dot-Com,<NA>,,,
2022-02-02,"Alphabet stock split may trigger retail buying, Dow inclusion",<NA>,,,
2022-02-02,Does linking ESG performance to executive pay actually make a difference?,<NA>,,,
2022-02-02,"If January Predicts the Rest of the Year, Investors Could Be Hurting",<NA>,,,
2022-02-02,S&P 500: U.S. Congress Members Load Up On 10 Stocks,<NA>,,,
2022-02-02,Sean Keyes on investing: Ireland's tech industry is powering up - The Currency,<NA>,,,
2022-02-02,"Stock Market News for Feb 2, 2022",<NA>,,,
2022-02-02,"Stock Market Today: Dow, S&P Live Updates for Feb. 3, 2022",<NA>,,,
2022-02-02,Warren Buffett Wins in 2022: ETF Lessons to Learn From,<NA>,,,
2022-02-03,"Brown & Brown, Inc. added to S&P 500 Dividend Aristocrats Index",<NA>,,,
2022-02-03,"Cboe Plans to List SPX Tuesday, Thursday-Expiring Weeklys Options",<NA>,,,
2022-02-03,Chart Of The Day: SPDR® S&P 500 ETF,<NA>,,,
2022-02-03,Facebook is one of only four companies in the S&P 500 to make this remarkable achievement over the past 10 years — and its stock is already cheap,<NA>,,,
2022-02-03,Job Listings at S&P 500 Companies up 1.8% in January 2022 According to S&P 500 LinkUp Jobs Index,<NA>,,,
2022-02-03,Ken Griffin's Hedge Fund Reportedly Crushed S&P 500 in January,<NA>,,,
2022-02-03,"S&P 500 rises to end best week of the year so far, Amazon pushes Nasdaq 1.6% higher on Friday",<NA>,,,
2022-02-03,Sellers Looking to Drive E-mini S&P into 4419.25 – 4327.50,<NA>,,,
2022-02-03,Short sellers building positions against consumer discretionary stocks,<NA>,,,
2022-02-03,Tech Rout on Meta Miss Jeopardizes S&P 500's Winning Streak,<NA>,,,
2022-02-04,14 Crashing Stocks You May Own Are Already In Serious Trouble,<NA>,,,
2022-02-04,Apple Poised To Outperform The S&P 500 Index,<NA>,,,
2022-02-04,Capital Gains: When Being Below Average Is A Good Thing,<NA>,,,
2022-02-04,How to Use a Put Option Overlay to Minimize Market Risk,<NA>,,,
2022-02-04,"Relative Strength Line Is A Simple, Yet Effective Stock Indicator",<NA>,,,
2022-02-04,Retiree Investors: A Historical Perspective On Stock Market Returns Can Help Calm Jittery Nerves,<NA>,,,
2022-02-04,"S&P 500 Earnings Season Update: February 4, 2022",<NA>,,,
2022-02-04,S&P 500 Gives up Majority Again,<NA>,,,
2022-02-07,Beat the S&P 500 With Its Less Risky Cousin,<NA>,,,
2022-02-07,CAPITAL IDEAS: When will the stock market bottom?,<NA>,,,
2022-02-07,Fintech-friendly banks lead best-performing US bank stocks in January,<NA>,,,
2022-02-07,First Decrease in EPS Estimates for S&P 500 Companies for Q1 2022 Since Q2 2020,<NA>,,,
2022-02-07,High Dividend ETFs Get Energy Boost,<NA>,,,
2022-02-07,"If You Need Downside Protection, Buffer ETFs Are Having A Moment",<NA>,,,
2022-02-07,Quiet Day for the S&P 500 and Wall Street,<NA>,,,
2022-02-07,"SPY ETF: The Good, Bad and Ugly Factors to Consider in 2022",<NA>,,,
2022-02-07,"Stock Market News for Feb 7, 2022",<NA>,,,
2022-02-07,The UK stocks that have matched the US tech giants over 10 years,<NA>,,,
2022-02-07,Wall Street ends lower as Meta Platforms weighs,<NA>,,,
2022-02-07,Will ADP Stock Trend Lower?,<NA>,,,
2022-02-08,29 Energy ETFs Ranked For 2022 - ETF Focus on TheStreet: ETF research and Trade Ideas,<NA>,,,
2022-02-08,A 50% Decline Will Only Be A Correction | investing.com,<NA>,,,
2022-02-08,Better Buy: S&P 500 vs. Total Market ETF,<NA>,,,
2022-02-08,Commentary: Paul Ebeling on Wall Street and Beyond,<NA>,,,
2022-02-08,"DocuSign Stock Is Down 60% From Highs, Should You Buy Now?",<NA>,,,
2022-02-08,ETF Battles: QQQ Vs SCHG Vs VOOG,<NA>,,,
2022-02-08,"LIVE MARKETS S&P 500 eases early, with Pfizer a drag",<NA>,,,
2022-02-08,"S&P Global (SPGI) Q4 Earnings & Revenues Beat Mark, Rise Y/Y",<NA>,,,
2022-02-08,"Stock Market News for Feb 8, 2022",<NA>,,,
2022-02-08,This Is What Gets In The Way Of Another Stock Market Rally In 2022,<NA>,,,
2022-02-08,What's In Your Value ETF Might Surprise You,<NA>,,,
2022-02-09,Biggest Single-Day Market Cap Drops in U.S. Stocks,<NA>,,,
2022-02-09,Energy stocks emerge as big winners in market's oil sensitivity,<NA>,,,
2022-02-09,"LIVE MARKETS S&P 500, Nasdaq up 1% early as mega caps gain",<NA>,,,
2022-02-09,LIVE MARKETS Super Bowl showdown: Will the S&P 500 score or fumble?,<NA>,,,
2022-02-09,New York's Pension Fund Plans to Restrict Its Investments in Oil and Gas Companies,<NA>,,,
2022-02-09,"Now More Than Ever, the Stock Market Doesn't Matter",<NA>,,,
2022-02-09,Pluang Users Can Now Invest in US Stocks CFD,<NA>,,,
2022-02-09,"S&P 500, Nasdaq slip as Pfizer, megacap stocks drag",<NA>,,,
2022-02-09,The Fed's coming rate hikes don't spell doom for stocks,<NA>,,,
2022-02-09,Why Apple Stock Shot Higher On Tuesday,<NA>,,,
2022-02-10,Fed rate hike anticipation pushes investors into value stocks over growth,<NA>,,,
2022-02-10,Futures Definition | Investing Dictionary | U.S. News,<NA>,,,
2022-02-10,SPDR S&P 500 ETF Trust (SPY) News and Forecast: Will the SPY go up or down after CPI data?,<NA>,,,
2022-02-10,SPY: 3 Charts that PROVE Future Direction of Stock Market,<NA>,,,
2022-02-10,"Stock Market News for Feb 10, 2022",<NA>,,,
2022-02-10,The Drum,<NA>,,,
2022-02-10,Warren Buffett Recommends a Portfolio: Here's How to Create it With Just 2 ETFs,<NA>,,,
2022-02-11,Better Buy: Vanguard S&P 500 ETF or ARK Innovation ETF,<NA>,,,
2022-02-11,Is the stock market really a better investment than an MLB team?,<NA>,,,
2022-02-11,LIVE MARKETS S&P 500: Looking for a breakout,<NA>,,,
2022-02-11,"S&P 500 Earnings Season Update: February 11, 2022",<NA>,,,
2022-02-11,S&P 500 Opens Up on Diversity After Floyd as Investors Seek More,<NA>,,,
2022-02-11,"Stock Market News for Feb 11, 2022",<NA>,,,
2022-02-11,"Stocks Fall With Nasdaq, S&P 500 Heading for Weekly Declines",<NA>,,,
2022-02-11,These were the most bought ISA stocks and shares last month,<NA>,,,
2022-02-11,Top 10 On Syfe Trade: What To Know About The Stocks & ETFs That Investors Are Snapping Up,<NA>,,,
2022-02-11,Want to Invest in the S&P 500 as a Canadian? Here Are 3 Ways You Can,<NA>,,,
2022-02-14,10 tech value stocks that at least 75% of analysts rate as a 'buy' right now,<NA>,,,
2022-02-14,"BofA's Subramanian Says We'll Be 'Shocked by the Volatility' in 2022, but Remains Bullish on These 3 Sectors",<NA>,,,
2022-02-14,Can 'buying the dip' beat the S&P 500?,<NA>,,,
2022-02-14,"Dow, S&P slide, Nasdaq ends flat as oil hits $95 per barrel",<NA>,,,
2022-02-14,Russia-Ukraine crisis: What happens to the stock market amid geopolitical shocks,<NA>,,,
2022-02-14,The Pros' 10 Best S&P 500 Stocks to Buy Now,<NA>,,,
2022-02-14,"The state of net zero, for now",<NA>,,,
2022-02-14,What The Rock's arms and the S&P 500 all have in common,<NA>,,,
2022-02-15,"$ARKK, Shopify & Tesla's PE – What's Trending on YCharts?",<NA>,,,
2022-02-15,20 Percent of TSP C Fund Invested in FAANG Stocks,<NA>,,,
2022-02-15,LIVE MARKETS S&P 500 futures weigh Russia relief vs PPI pop,<NA>,,,
2022-02-15,"S&P 500 closes flat on Wednesday as investors assess the Fed's next move, Russia-Ukraine risk",<NA>,,,
2022-02-15,"Stock Market News for Feb 15, 2022",<NA>,,,
2022-02-15,"US T-bond yields fade week-start rebound, S&P 500 Futures remain indecisive",<NA>,,,
2022-02-15,What The Fed's Balance Sheet Reduction Will Mean For The S&P 500 - SPDR S&P 500 (ARCA:SPY),<NA>,,,
2022-02-16,"Female Executives Earned 25% Less Than Men Do, a Nine Year High",<NA>,,,
2022-02-16,How $200 Per Month Could Make You a Stock Market Millionaire,<NA>,,,
2022-02-16,"With Energy Stocks, It's the Volatility That Kills You",<NA>,,,
2022-02-17,Is Schwab S&P 500 (SWPPX) a Strong Mutual Fund Pick Right Now?,<NA>,,,
2022-02-17,This investment strategy is an extremely effective way to beat the S&P 500,<NA>,,,
2022-02-17,Ukraine fears drive sharp losses in US stocks,<NA>,,,
2022-02-18,10 Biggest Losers in the S&P 500 This Year,<NA>,,,
2022-02-18,How To Make An Easy $2335 In Your Brokerage Account,<NA>,,,
2022-02-18,LIVE MARKETS What history says about geopolitics and the market,<NA>,,,
2022-02-18,Market Rewarding Positive EPS Surprises Less Than Average for S&P 500 Companies for Q4,<NA>,,,
2022-02-18,"S&P 500 earnings, week of Feb. 21: 29 companies to report",<NA>,,,
2022-02-18,"The S&P 500 will surge 20% by year-end and recession fears are overblown, BMO strategy chief says",<NA>,,,
2022-02-22,4 Charts That Show Why Investors Should Invest in Real Estate in 2022,<NA>,,,
2022-02-22,"Dow closes at its lowest level of 2022 so far, S&P 500 drops further into correction territory",<NA>,,,
2022-02-22,How Options Expiration Keeps Crushing the Stock Market,<NA>,,,
2022-02-22,S&P 500 Charts Are So Bad Even Bulls Are Looking to Adjust Bets,<NA>,,,
2022-02-22,S&P 500 confirms correction as stocks stumble on war fears,<NA>,,,
2022-02-22,S&P 500 confirms correction; Ukraine-Russia crisis keeps investors on edge,<NA>,,,
2022-02-22,S&P 500 could test 3800 level -strategist,<NA>,,,
2022-02-22,S&P 500 logs first correction in 2 years as Russia-Ukraine conflict escalates. Here's what history says happens next to U.S. stock-market benchmark,<NA>,,,
2022-02-22,Stocks Hit Correction Territory as the West Announces Russia Sanctions,<NA>,,,
2022-02-22,Think VAS is the best ASX index fund? These ETFs have beaten it over the past decade...,<NA>,,,
2022-02-22,"U.S. market fallout from Russia-Ukraine strife may be brief, some strategists say",<NA>,,,
2022-02-22,What Is a Stock Market Correction?,<NA>,,,
2022-02-23,Can Quality ETFs be Good Bets as Russia-Ukraine Tensions Rise?,<NA>,,,
2022-02-23,Corporate America's strong earnings into 2022 is good news for stocks: strategist,<NA>,,,
2022-02-23,False Safe Haven: Bitcoin Correlation With S&P 500 Hits ATH,<NA>,,,
2022-02-23,Four Large-Cap Value ETFs That Morningstar Likes,<NA>,,,
2022-02-23,Global stocks plunge as Russia attacks Ukraine,<NA>,,,
2022-02-23,Home Depot Hit Affects 300 ETFs,<NA>,,,
2022-02-23,How the Russia-Ukraine Crisis Is Shaking Markets and Portfolios,<NA>,,,
2022-02-23,Is Flowserve Stock A Buy At $32?,<NA>,,,
2022-02-23,"LIVE MARKETS For the S&P 500, it's looking a lot like 2018",<NA>,,,
2022-02-23,Reliance Standard Launches New Annuity Product: Reliance Accumulator™,<NA>,,,
2022-02-23,Russia-Ukraine Crisis Troubles the Stock Market,<NA>,,,
2022-02-23,S&P 500 Falls Deeper Into Correction Territory As Ukraine Declares State Of Emergency,<NA>,,,
2022-02-23,"S&P 500 closes 1.5% higher after sharp reversal, as traders shake off Russia's invasion of Ukraine",<NA>,,,
2022-02-23,S&P/NZX50 Index slides 3.3 per cent into correction after Russia attacks Ukraine,<NA>,,,
2022-02-23,"Stock market news live updates: S&P 500 sinks further into correction, setting new 2022 low with Russia-Ukraine in focus",<NA>,,,
2022-02-23,The Russia-Ukraine Conflict Is Rattling the Stock Market. Here's What Investors Should Do Now,<NA>,,,
2022-02-23,VIP Hedge Fund Stocks See Worst-Ever Performance Relative to S&P 500,<NA>,,,
2022-02-24,5 Income Stocks That Have Beaten the S&P 500 For a Decade,<NA>,,,
2022-02-24,How The Stock Market Performs In Times Of War - SPDR S&P 500 (ARCA:SPY),<NA>,,,
2022-02-24,Introducing the Global X Dow 30 Covered Call ETF (DJIA),<NA>,,,
